;purchease_cat;rmw_cat;description
1543;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1544;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
1545;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
1546;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1547;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
1548;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1549;Boissons;BOISSONS;Eau de source
1550;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1551;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1552;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1553;Boissons;BOISSONS;Eau de source
1554;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1555;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1556;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1557;Boissons;BOISSONS;Eau de source
1558;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1559;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1560;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1561;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1562;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1563;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1564;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1565;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1566;Viande;VIANDE;JAMBON SEC ITALIEN
1567;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1568;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1569;Petit-Déjeuner;BOISSONS;CAFE FORZA 10CAPS
1570;Petit-Déjeuner;BOISSONS;CAFE SATINA 10CA
1571;Petit-Déjeuner;BOISSONS;CAFE DELIZIO 10C
1572;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1573;Boissons;BOISSONS;Eau de source
1574;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1575;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1576;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1577;Boissons;BOISSONS;Eau de source
1578;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1579;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1580;Épicerie Salée;EPICERIE_SUCREE;3X1/4 CHAMP EMINCE
1581;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
1582;Viande;BOISSONS;4TR JAMBON SUP AC
1583;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1584;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;EMMENTAL RAPE 100G
1585;Épicerie Salée;BOISSONS;1/2 OLIVE FARCIES
1586;Épicerie Salée;PLAT_PREPARE;100G CRACKERS FORM
1587;Viande;EPICERIE_SALEE;10TR BACON SEL RED
1588;Epicerie Sucrée;EPICERIE_SUCREE;Twix Format XL x12
1589;Viande;BOISSONS;4TR JAMBON SUP AC
1590;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1591;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1592;Boulangerie;BOISSONS;BAGUETTE CAMPAGNAR
1593;Épicerie Salée;EPICERIE_SALEE;BLINI COCKTAIL X16
1594;Fruits;BOISSONS;CLEMENTINE FEUILLE
1595;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;Emmental français naturellement riche en calcium  la portion de 250g
1596;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1597;Viande;BOISSONS;GIGOT*** TR X1 CRF
1598;Viande;BOISSONS;GIGOT*** TR x1 CRF
1599;Légumes;BOISSONS;PANACH JEUNE POUSS
1600;Viande;BOISSONS;PC ROTI FILET 500G
1601;Légumes;LEGUMES;PCE CHOU VERT FRIS
1602;Épicerie Salée;EPICERIE_SALEE;PRINGLES CREME/OIG
1603;Viande;BOISSONS;SAUCISSE MORTEAU
1604;Légumes;BOISSONS;ST 1KG CAROTTE FQC
1605;Poissonnerie;EPICERIE_SALEE;TARAMA BLINI
1606;Produits Laitiers, Lait, Oeufs;BOISSONS;TOMME DE MONTAGNE
1607;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
1608;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
1609;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1610;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
1611;Entretien;HYGIENE_BEAUTE;LA+ WC BLOC CH EAU
1612;Entretien;EPICERIE_SALEE;CILLIT BANG PIST C
1613;Entretien;EPICERIE_SALEE;PET KRAFT MONOPRIX
1614;Boulangerie;EPICERIE_SUCREE;BAGUETTE MONOP GT
1615;Entretien;EPICERIE_SUCREE;MPX GNT MENAGE X2
1616;Entretien;EPICERIE_SUCREE;MPX GNT MENAGE X2
1617;Entretien;EPICERIE_SALEE;MPX LING ANTIBACT
1618;Légumes;LEGUMES;MACHE & ROQUET 100
1619;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MONOP CRM EP 50CL
1620;Viande;EPICERIE_SUCREE;LARDON ALLUMETTE F
1621;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LA LAITIERE SEMOUL
1622;Épicerie Salée;LEGUMES;230G CHAMPI EMINC
1623;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;RIANS CREME VANIL
1624;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;RIANS CREME VANIL
1625;Épicerie Salée;BOISSONS;1L HLE OLIVE VE CR
1626;Bébé;EPICERIE_SALEE;NATURN RIZ/CAR/PLT
1627;Bébé;EPICERIE_SUCREE;X4 BRA BANMANAN 6M
1628;Produits Laitiers, Lait, Oeufs;BOISSONS;12X50G+6GRT PETITS
1629;Légumes;EPICERIE_SUCREE;350G SUCRINE COEUR
1630;Légumes;BOISSONS;COURGETTE CRF BIO
1631;Bébé;PRODUITS_LAITIERS_LAIT_OEUFS;X4 SEMOU VANILL 6M
1632;Fruits;BOISSONS;NECTA JAUNE
1633;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;COMTE 170G LE
1634;Viande;BOISSONS;100G F ROSETT
1635;Epicerie Sucrée;FRUITS;40G MIN POM 10M
1636;Fruits;BOISSONS;PASTEQUE QUART
1637;Bébé;BOISSONS;FRAISE BANANE 120G
1638;Bébé;BOISSONS;190G PDT DO PRC 6M
1639;Bébé;FRUITS;90G BRA POM MI 12M
1640;Bébé;BOISSONS;POMME COING 120G
1641;Viande;BOISSONS;80G JBON SUP -25%
1642;Bébé;POISSONNERIE;BOL CAR PDT SAUMON
1643;Viande;BOISSONS;COTE ECHINE
1644;Produits Laitiers, Lait, Oeufs;BOISSONS;VIVA 1/2E 8X1LDT1L
1645;Entretien;BOISSONS;RECH LESSIVE LIQ
1646;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1647;Boissons;BOISSONS;Eau de source
1648;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1649;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1650;Produits Laitiers, Lait, Oeufs;VIANDE;1/2 EPINA HACH CRF
1651;Épicerie Salée;EPICERIE_SUCREE;1/2 OLIVE FARCIES
1652;Viande;EPICERIE_SUCREE;48X7G DOSET MOKA
1653;Épicerie Salée;EPICERIE_SUCREE;ABONDANCE FE
1654;Boissons;EPICERIE_SALEE;ABV BLANC 1L
1655;Boulangerie;EPICERIE_SUCREE;BAGUETTE CAMPAGNAR
1656;Boissons;HYGIENE_BEAUTE;EAU ST AMAND 1 5L
1657;Légumes;EPICERIE_SUCREE;EMINCES PC LEGUMES
1658;Viande;PLAT_PREPARE;KG FOIE BOEUF TRX2
1659;Fruits;EPICERIE_SUCREE;MANGUE PIECE
1660;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;P-CROUTE COCKT APE
1661;Viande;EPICERIE_SUCREE;RECHARGE 600 CANDE
1662;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
1663;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
1664;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
1665;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;GERVAIS YOGHURT FR
1666;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;SLA PERLE 125GX4 C
1667;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
1668;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
1669;Légumes;EPICERIE_SALEE;M/BIO AUBERGINE
1670;Légumes;EPICERIE_SALEE;BIO COURGETTE ROND
1671;Boissons;EPICERIE_SUCREE;PERRIER 6X1L
1672;Boissons;EPICERIE_SUCREE;VITTEL 6X1 5L
1673;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;VIVA BK1L 
1674;Epicerie Sucrée;EPICERIE_SALEE;1KG FARIN/BLE FLUI
1675;Loisirs;EPICERIE_SUCREE;VOITURE DISNEY
1676;Viande;EPICERIE_SALEE;2 TR JAMBON BIO AC
1677;Boulangerie;BOULANGERIE;PAIN CEREALE MBIO
1678;Hygiène et Beauté;EPICERIE_SALEE;MPX MCH BTE SPE
1679;Hygiène et Beauté;EPICERIE_SALEE;MPX MCH BTE SPE
1680;Boissons;EPICERIE_SUCREE;LONGUE CONSERVATIO
1681;Fruits;EPICERIE_SALEE;RAISIN BLANC
1682;Hygiène et Beauté;EPICERIE_SUCREE;MBIO HUILE ARGAN
1683;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;LES2VACH FLAN BIO
1684;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;6 OEUFS MONOP BIO
1685;Fruits;EPICERIE_SALEE;CITRON JAUNE
1686;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
1687;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
1688;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
1689;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
1690;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
1691;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
1692;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
1693;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
1694;Viande;VIANDE;EPAULE PORC SANS OS
1695;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
1696;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
1697;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
1698;Maison;EPICERIE_SUCREE;COUVERTURE POLAIRE 75/150C
1699;Loisirs;EPICERIE_SUCREE;IE DORS BIEN COL CLAUDINE
1700;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
1701;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
1702;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
1703;Textile;EPICERIE_SALEE;IE DOUDOUNE LIGHT CAPUCHE
1704;Textile;HYGIENE_BEAUTE;IE BODY US MC
1705;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
1706;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
1707;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
1708;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
1709;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
1710;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS X3
1711;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1712;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1713;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1714;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1715;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1716;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1717;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1718;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1719;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1720;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1721;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1722;Boissons;BOISSONS;Eau de source
1723;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1724;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1725;Viande;BOISSONS;R Pack Fnac Smartphone
1726;Légumes;BOISSONS;D3E
1727;Légumes;BOISSONS;EMV
1728;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1729;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1730;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1731;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1732;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1733;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1734;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1735;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1736;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1737;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1738;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;250G PL BEUR DS PR
1739;Viande;BOISSONS;36 DOS ARABICA CRF
1740;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1741;Entretien;BOISSONS;Persil ciselé surgelé
1742;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1743;Boulangerie;BOISSONS;CIABATTA 250G
1744;Épicerie Salée;LEGUMES;CONFIT AIL
1745;Epicerie Sucrée;BOISSONS;MACARON PISTACHE
1746;Epicerie Sucrée;BOISSONS;TRIANON X2
1747;Entretien;BOISSONS;OKAY COLLECT ET 12
1748;Fruits;BOISSONS;FOIRE GADGETS MENA
1749;Viande;BOISSONS;Diesel 4 €
1750;Boissons;BOISSONS;Aperol Spritz
1751;Boissons;BOISSONS;Aperol spritz
1752;Viande;BOISSONS;Menu Maestro Ent Plt Bois
1753;Viande;FRUITS;Menu Maestro Plt Des Bois
1754;Epicerie Sucrée;BOISSONS;Espresso
1755;Viande;BOISSONS;Diesel 4 €
1756;Entretien;BOISSONS;Diesel 3 €
1757;Viande;BOULANGERIE;HERTA LARDONS FUMES
1758;Viande;BOULANGERIE;HERTA LARDONS FUMES
1759;Boissons;LEGUMES;Ste marguerite e.gaz.pet 1l25
1760;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6*1 5
1761;Épicerie Salée;PRODUITS_LAITIERS_LAIT_OEUFS;MOUNTANT DU
1762;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1763;Boissons;BOISSONS;Eau de source
1764;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1765;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1766;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
1767;Entretien;EPICERIE_SALEE;BOEUF PRX ROND 6E
1768;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1769;Épicerie Salée;BOISSONS;PANTS PLUS NIGHT M
1770;Epicerie Sucrée;BOISSONS;200G SCHOKOBONS KI
1771;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1772;Boissons;BOISSONS;Eau de source
1773;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1774;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1775;Épicerie Salée;EPICERIE_SALEE;BV SEL FIN IODE
1776;Epicerie Sucrée;BOISSONS;2X14TABS FREED WHI
1777;Produits Laitiers, Lait, Oeufs;BOISSONS;30 OEUFS FRAIS MOY
1778;Épicerie Salée;BOISSONS;250G CANNELLONI
1779;Épicerie Salée;FRUITS;150G NOIX DE CAJOU
1780;Épicerie Salée;VIANDE;75G CRACKERS MINI
1781;Produits Laitiers, Lait, Oeufs;PRODUITS_SURGELES;POT 250G MASCARPO
1782;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;EMMENTAL FR RAPE
1783;Épicerie Salée;BOISSONS;125G PISTACHES GRI
1784;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA GALBANI
1785;Fruits;HYGIENE_BEAUTE;BANANE OPEN TOP
1786;Légumes;BOISSONS;TOMATE CERISE IMP
1787;Fruits;BOISSONS;ORANGE FEUILLE
1788;Fruits;BOISSONS;KIWI PIECE
1789;Entretien;HYGIENE_BEAUTE;250ML SAVON MAGIC
1790;Entretien;HYGIENE_BEAUTE;250ML SAVON MAGIC
1791;Viande;BOULANGERIE;HERTA LARDONS FUMES
1792;Viande;BOULANGERIE;HERTA LARDONS FUMES
1793;Boissons;LEGUMES;Ste marguerite e.gaz.pet 1l25
1794;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6*1 5
1795;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1796;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1797;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1798;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1799;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1800;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1801;Viande;VIANDE;JAMBON SEC ITALIEN
1802;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1803;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1804;Épicerie Salée;EPICERIE_SALEE;330G BOEUF BOURGUI
1805;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CARF
1806;Légumes;BOISSONS;ASSORT CHAMP CRF
1807;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1808;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURRE ISIGNY
1809;Viande;BOISSONS;ESCALOPE DINDE
1810;Viande;VIANDE;JAMBON SEC ITALIEN
1811;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA TRANCHE
1812;Épicerie Salée;BOISSONS;TAGLIATELLE CAR
1813;Poissonnerie;BOISSONS;POIVRON CHEVRE/THON
1814;Légumes;EPICERIE_SALEE;TRI FUNGHI
1815;Produits Laitiers, Lait, Oeufs;BOISSONS;ANCHOIS
1816;Légumes;BOULANGERIE;TOMATES MI SECHEES
1817;Boissons;BOISSONS;CANELLONI
1818;Légumes;BOISSONS;AUBERGINE FARCIE
1819;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1820;Boissons;BOISSONS;Eau de source
1821;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1822;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1823;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
1824;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
1825;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
1826;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
1827;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
1828;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
1829;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
1830;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
1831;Viande;VIANDE;EPAULE PORC SANS OS
1832;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
1833;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
1834;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
1835;Maison;EPICERIE_SUCREE;COUVERTURE POLAIRE 75/150C
1836;Loisirs;EPICERIE_SUCREE;IE DORS BIEN COL CLAUDINE
1837;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
1838;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
1839;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
1840;Textile;EPICERIE_SALEE;IE DOUDOUNE LIGHT CAPUCHE
1841;Textile;HYGIENE_BEAUTE;IE BODY US MC
1842;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
1843;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
1844;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
1845;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
1846;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
1847;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS X3
1848;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1849;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1850;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1851;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1852;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1853;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1854;Viande;VIANDE;JAMBON SEC ITALIEN
1855;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1856;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1857;Viande;BOISSONS;HERTA LARDONS FUMES
1858;Viande;BOISSONS;HERTA LARDONS FUMES
1859;Viande;LEGUMES;Ste marguerite e.gaz.pet 1l25
1860;Boissons;EPICERIE_SUCREE;CRISTALINE PET x6
1861;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1862;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1863;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1864;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1865;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1866;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1867;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1868;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1869;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1870;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1871;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
1872;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
1873;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1874;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT L
1875;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1876;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1877;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1878;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1879;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1880;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1881;Viande;VIANDE;JAMBON SEC ITALIEN
1882;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1883;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1884;Fruits;BOISSONS;"4 CITRONS J""MONOP"
1885;Viande;BOISSONS;2 TR JAMBON BIO AC
1886;Épicerie Salée;BOISSONS;GNOCCHI A POELER 5
1887;Viande;BOISSONS;BELLE ESC DINDE X2
1888;Petit-Déjeuner;BOISSONS;33G INFUSION BIO
1889;Petit-Déjeuner;PETIT_DEJEUNER;375G CORN FLAK MBI
1890;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;MONO EMM RAPE 3X70
1891;Légumes;BOISSONS;"M/BIO""COURGETTE 1K"
1892;Boulangerie;BOULANGERIE;PAIN CEREALE MBIO
1893;Épicerie Salée;BOISSONS;64GNOUIL CHAMPIGN
1894;Épicerie Salée;BOISSONS;64GNOUIL CHAMPIGN
1895;Épicerie Salée;BOISSONS;64GNOUIL CHAMPIGN
1896;Produits Laitiers, Lait, Oeufs;PLAT_PREPARE;BEURRIER TEND 1/2S
1897;Fruits;BOISSONS;"BIO"" 4 POIRES"
1898;Boissons;HYGIENE_BEAUTE;MTP EAU DEMINERALI
1899;Hygiène et Beauté;HYGIENE_BEAUTE;MPX DEO HOM ROLL
1900;Hygiène et Beauté;EPICERIE_SUCREE;MEN EXP BIL INTENS
1901;Fruits;FRUITS;"M/BIO ""RAISIN BLANC"
1902;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1903;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1904;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1905;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1906;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1907;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1908;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1909;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1910;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1911;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1912;Produits Laitiers, Lait, Oeufs;BOISSONS;Dont Part Eco-Mobilier 0 25 EUR TTC
1913;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
1914;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;250G PL BEUR DS PR
1915;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
1916;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1917;Entretien;BOISSONS;Persil ciselé surgelé
1918;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1919;Boulangerie;BOISSONS;CIABATTA 250G
1920;Épicerie Salée;LEGUMES;CONFIT AIL
1921;Epicerie Sucrée;BOISSONS;MACARON PISTACHE
